nSeq,I1,I2,O1,O2,A1,A2,A3,A4,A5,A6
0,0,0,0,0,453,505,0,0,0,0
1,0,0,0,0,453,505,0,0,0,0
2,0,0,0,0,453,505,0,0,0,0
3,0,0,0,0,452,505,0,0,0,0
4,0,0,0,0,453,505,0,0,0,0
5,0,0,0,0,453,506,0,0,0,0
6,0,0,0,0,454,505,0,0,0,0
7,0,0,0,0,454,505,0,0,0,0
8,0,0,0,0,454,505,0,0,0,0
9,0,0,0,0,454,505,0,0,0,0
10,0,0,0,0,454,506,0,0,0,0
11,0,0,0,0,454,507,0,0,0,0
12,0,0,0,0,455,507,0,0,0,0
13,0,0,0,0,455,508,0,0,0,0
14,0,0,0,0,455,508,0,0,0,0
15,0,0,0,0,455,509,0,0,0,0
0,0,0,0,0,455,509,0,0,0,0
1,0,0,0,0,455,508,0,0,0,0
2,0,0,0,0,456,508,0,0,0,0
3,0,0,0,0,455,509,0,0,0,0
4,0,0,0,0,456,510,0,0,0,0
5,0,0,0,0,456,509,0,0,0,0
6,0,0,0,0,456,510,0,0,0,0
7,0,0,0,0,457,510,0,0,0,0
8,0,0,0,0,456,510,0,0,0,0
9,0,0,0,0,457,510,0,0,0,0
10,0,0,0,0,457,510,0,0,0,0
11,0,0,0,0,456,509,0,0,0,0
12,0,0,0,0,456,509,0,0,0,0
13,0,0,0,0,456,509,0,0,0,0
14,0,0,0,0,457,508,0,0,0,0
15,0,0,0,0,456,509,0,0,0,0
0,0,0,0,0,457,510,0,0,0,0
1,0,0,0,0,457,509,0,0,0,0
2,0,0,0,0,456,509,0,0,0,0
3,0,0,0,0,457,510,0,0,0,0
4,0,0,0,0,456,511,0,0,0,0
5,0,0,0,0,457,511,0,0,0,0
6,0,0,0,0,456,512,0,0,0,0
7,0,0,0,0,456,512,0,0,0,0
8,0,0,0,0,456,512,0,0,0,0
9,0,0,0,0,455,512,0,0,0,0
10,0,0,0,0,455,511,0,0,0,0
11,0,0,0,0,456,511,0,0,0,0
12,0,0,0,0,455,510,0,0,0,0
13,0,0,0,0,455,509,0,0,0,0
14,0,0,0,0,456,509,0,0,0,0
15,0,0,0,0,456,509,0,0,0,0
0,0,0,0,0,455,510,0,0,0,0
1,0,0,0,0,455,510,0,0,0,0
2,0,0,0,0,455,510,0,0,0,0
3,0,0,0,0,456,510,0,0,0,0
4,0,0,0,0,456,510,0,0,0,0
5,0,0,0,0,455,510,0,0,0,0
6,0,0,0,0,456,511,0,0,0,0
7,0,0,0,0,455,511,0,0,0,0
8,0,0,0,0,456,512,0,0,0,0
9,0,0,0,0,455,512,0,0,0,0
10,0,0,0,0,456,512,0,0,0,0
11,0,0,0,0,456,513,0,0,0,0
12,0,0,0,0,455,514,0,0,0,0
13,0,0,0,0,455,514,0,0,0,0
14,0,0,0,0,455,514,0,0,0,0
15,0,0,0,0,455,514,0,0,0,0
0,0,0,0,0,455,514,0,0,0,0
1,0,0,0,0,455,513,0,0,0,0
2,0,0,0,0,455,513,0,0,0,0
3,0,0,0,0,455,513,0,0,0,0
4,0,0,0,0,455,512,0,0,0,0
5,0,0,0,0,455,511,0,0,0,0
6,0,0,0,0,456,510,0,0,0,0
7,0,0,0,0,455,510,0,0,0,0
8,0,0,0,0,456,510,0,0,0,0
9,0,0,0,0,456,510,0,0,0,0
10,0,0,0,0,456,511,0,0,0,0
11,0,0,0,0,456,510,0,0,0,0
12,0,0,0,0,457,510,0,0,0,0
13,0,0,0,0,457,510,0,0,0,0
14,0,0,0,0,458,510,0,0,0,0
15,0,0,0,0,457,510,0,0,0,0
0,0,0,0,0,458,509,0,0,0,0
1,0,0,0,0,458,508,0,0,0,0
2,0,0,0,0,458,508,0,0,0,0
3,0,0,0,0,458,508,0,0,0,0
4,0,0,0,0,458,507,0,0,0,0
5,0,0,0,0,459,506,0,0,0,0
6,0,0,0,0,459,506,0,0,0,0
7,0,0,0,0,459,507,0,0,0,0
8,0,0,0,0,460,506,0,0,0,0
9,0,0,0,0,460,506,0,0,0,0
10,0,0,0,0,460,506,0,0,0,0
11,0,0,0,0,461,505,0,0,0,0
12,0,0,0,0,461,505,0,0,0,0
13,0,0,0,0,461,505,0,0,0,0
14,0,0,0,0,462,504,0,0,0,0
15,0,0,0,0,463,504,0,0,0,0
0,0,0,0,0,464,504,0,0,0,0
1,0,0,0,0,465,503,0,0,0,0
2,0,0,0,0,466,503,0,0,0,0
3,0,0,0,0,467,502,0,0,0,0
4,0,0,0,0,467,502,0,0,0,0
5,0,0,0,0,469,502,0,0,0,0
6,0,0,0,0,469,501,0,0,0,0
7,0,0,0,0,471,500,0,0,0,0
8,0,0,0,0,472,500,0,0,0,0
9,0,0,0,0,473,499,0,0,0,0
10,0,0,0,0,475,498,0,0,0,0
11,0,0,0,0,476,498,0,0,0,0
12,0,0,0,0,477,499,0,0,0,0
13,0,0,0,0,479,498,0,0,0,0
14,0,0,0,0,480,496,0,0,0,0
15,0,0,0,0,483,497,0,0,0,0
0,0,0,0,0,484,496,0,0,0,0
1,0,0,0,0,486,497,0,0,0,0
2,0,0,0,0,488,497,0,0,0,0
3,0,0,0,0,490,497,0,0,0,0
4,0,0,0,0,493,496,0,0,0,0
5,0,0,0,0,495,496,0,0,0,0
6,0,0,0,0,498,496,0,0,0,0
7,0,0,0,0,500,496,0,0,0,0
8,0,0,0,0,503,496,0,0,0,0
9,0,0,0,0,506,496,0,0,0,0
10,0,0,0,0,509,495,0,0,0,0
11,0,0,0,0,512,494,0,0,0,0
12,0,0,0,0,515,492,0,0,0,0
13,0,0,0,0,519,491,0,0,0,0
14,0,0,0,0,522,489,0,0,0,0
15,0,0,0,0,525,488,0,0,0,0
0,0,0,0,0,528,487,0,0,0,0
1,0,0,0,0,533,486,0,0,0,0
2,0,0,0,0,537,485,0,0,0,0
3,0,0,0,0,541,484,0,0,0,0
4,0,0,0,0,545,483,0,0,0,0
5,0,0,0,0,549,483,0,0,0,0
6,0,0,0,0,553,483,0,0,0,0
7,0,0,0,0,558,483,0,0,0,0
8,0,0,0,0,562,483,0,0,0,0
9,0,0,0,0,567,483,0,0,0,0
10,0,0,0,0,572,483,0,0,0,0
11,0,0,0,0,575,482,0,0,0,0
12,0,0,0,0,580,482,0,0,0,0
13,0,0,0,0,585,481,0,0,0,0
14,0,0,0,0,590,480,0,0,0,0
15,0,0,0,0,595,480,0,0,0,0
0,0,0,0,0,600,479,0,0,0,0
1,0,0,0,0,605,477,0,0,0,0
2,0,0,0,0,611,476,0,0,0,0
3,0,0,0,0,615,476,0,0,0,0
4,0,0,0,0,621,476,0,0,0,0
5,0,0,0,0,625,475,0,0,0,0
6,0,0,0,0,631,475,0,0,0,0
7,0,0,0,0,636,474,0,0,0,0
8,0,0,0,0,640,474,0,0,0,0
9,0,0,0,0,646,473,0,0,0,0
10,0,0,0,0,651,473,0,0,0,0
11,0,0,0,0,656,473,0,0,0,0
12,0,0,0,0,661,473,0,0,0,0
13,0,0,0,0,666,473,0,0,0,0
14,0,0,0,0,671,473,0,0,0,0
15,0,0,0,0,676,473,0,0,0,0
0,0,0,0,0,680,473,0,0,0,0
1,0,0,0,0,685,473,0,0,0,0
2,0,0,0,0,690,472,0,0,0,0
3,0,0,0,0,695,472,0,0,0,0
4,0,0,0,0,699,473,0,0,0,0
5,0,0,0,0,704,473,0,0,0,0
